order_id,customer_id,product_id,region_id,campaign_id,order_date,quantity,unit_price,discount,shipping_cost,payment_method,delivery_days,returned_flag,order_status,warehouse_region,customer_rating,customer_city,customer_state
ORD1,1149,850,31,7.0,2025-01-01,1,4576.85,16.78,157.37,UPI,4,0,Delivered,West Hub,1,Anand,Gujarat
ORD1,3206,850,31,7.0,2025-01-01,1,4298.17,16.78,157.37,UPI,4,0,Delivered,West Hub,1,Hazaribagh,Punjab
ORD10,2368,842,33,,2025-01-01,1,5663.41,10.72,323.23,COD,4,0,Delivered,South Hub,5,Arrah,Uttar Pradesh
ORD11,3804,809,46,1.0,2025-01-01,1,16534.22,14.94,291.56,UPI,7,0,Delivered,West Hub,1,Ozhukarai,Delhi
ORD12,1549,30,49,,2025-01-01,1,50601.45,8.26,229.77,UPI,6,0,Delivered,West Hub,1,Katihar,Karnataka
ORD13,3953,169,37,,2025-01-01,1,6165.68,5.41,277.44,UPI,7,0,Delivered,West Hub,1,Sikar,Karnataka
ORD14,2175,740,13,1.0,2025-01-01,2,2139.83,17.94,389.59,Credit Card,6,0,Delivered,East Hub,4,Tiruppur,Uttar Pradesh
ORD15,2988,487,20,7.0,2025-01-01,1,2548.02,13.12,50.64,Net Banking,3,0,Delivered,West Hub,4,Mirzapur,Maharashtra
ORD16,1057,708,50,,2025-01-01,1,3651.44,9.83,375.71,UPI,2,0,Cancelled,North Hub,5,Rajahmundry,Delhi
ORD17,1923,133,40,,2025-01-01,1,56195.25,14.03,122.34,COD,6,1,Returned,West Hub,1,Kota,Delhi
ORD18,3586,1016,31,1.0,2025-01-01,1,3331.43,14.81,452.31,UPI,2,0,Delivered,East Hub,5,Jammu,Karnataka
ORD19,3245,287,10,,2025-01-01,1,25511.03,5.66,312.51,UPI,2,0,Delivered,South Hub,3,Morena,Delhi
ORD2,546,1140,34,7.0,2025-01-01,1,2028.73,12.92,254.2,Net Banking,6,0,Delivered,West Hub,3,Kolkata,Maharashtra
ORD20,3577,442,47,,2025-01-01,1,7676.27,12.3,394.88,UPI,4,0,Delivered,East Hub,5,Mysore,Karnataka
ORD21,2376,543,18,1.0,2025-01-01,1,7082.93,15.72,490.94,Net Banking,2,0,Delivered,South Hub,3,Siwan,Madhya Pradesh
ORD22,3708,712,5,,2025-01-01,1,2076.42,14.66,223.74,COD,5,0,Delivered,East Hub,5,Bardhaman,Tamil Nadu
ORD23,564,1174,19,7.0,2025-01-01,1,1672.98,7.4,245.53,Credit Card,6,0,Delivered,South Hub,5,Begusarai,Maharashtra
ORD24,200,221,45,7.0,2025-01-01,1,30792.44,8.63,52.28,Credit Card,4,0,Delivered,West Hub,2,Varanasi,Karnataka
ORD24169,2936,617,3,,2025-01-01,1,4195.88,14.72,408.21,UPI,6,0,Delivered,East Hub,4,Gudivada,Delhi
ORD25,1776,168,48,,2025-01-01,1,13143.65,7.4,390.76,UPI,3,0,Delivered,West Hub,4,Dindigul,Karnataka
ORD26,276,150,9,7.0,2025-01-01,2,35455.73,10.87,229.95,COD,6,0,Delivered,North Hub,5,Ramgarh,Delhi
ORD27,3368,916,16,,2025-01-01,1,25918.89,12.63,256.94,COD,2,0,Delivered,South Hub,5,Jalandhar,Odisha
ORD28,200,453,37,1.0,2025-01-01,1,2831.53,5.52,319.36,Net Banking,4,0,Delivered,East Hub,3,Varanasi,Karnataka
ORD29,1343,1103,14,,2025-01-01,1,2072.8,9.45,222.17,UPI,2,0,Delivered,East Hub,4,South Dumdum,Karnataka
ORD3,517,758,33,7.0,2025-01-01,2,1901.71,14.52,371.14,Credit Card,3,1,Returned,South Hub,3,Raipur,Madhya Pradesh
ORD30,3650,69,39,,2025-01-01,1,28804.64,6.93,88.91,Credit Card,7,0,Delivered,North Hub,4,Bikaner,Madhya Pradesh
ORD31,920,644,37,7.0,2025-01-01,1,2681.02,5.19,394.68,Net Banking,5,0,Delivered,West Hub,4,Howrah,Tamil Nadu
ORD32,519,896,16,1.0,2025-01-01,1,11563.21,7.97,242.83,UPI,6,0,Delivered,East Hub,3,Tumkur,Madhya Pradesh
ORD33,2003,617,3,1.0,2025-01-01,1,4966.46,14.72,408.21,UPI,6,1,Returned,East Hub,4,Ambala,Karnataka
ORD34,990,485,18,1.0,2025-01-01,1,8173.78,9.8,88.58,COD,2,0,Delivered,West Hub,3,Dehradun,Gujarat
ORD4,1809,706,23,7.0,2025-01-01,1,1150.8,12.91,486.52,UPI,4,0,Cancelled,South Hub,2,Kochi,Kerala
ORD5,568,321,50,,2025-01-01,1,2448.17,7.96,78.41,UPI,5,0,Delivered,West Hub,3,Hyderabad,Maharashtra
ORD6,2637,250,50,,2025-01-01,1,4091.21,17.06,276.15,Credit Card,6,0,Delivered,West Hub,5,Mathura,Karnataka
ORD7,3211,644,32,,2025-01-01,2,2796.87,11.83,356.8,Net Banking,5,0,Delivered,South Hub,1,Sri Ganganagar,Delhi
ORD8,1344,61,14,,2025-01-01,1,32136.62,8.62,499.9,Credit Card,5,0,Delivered,North Hub,3,Rajpur Sonarpur,Delhi
ORD9,1368,174,26,,2025-01-01,1,45608.17,6.06,88.03,Net Banking,4,1,Returned,East Hub,4,Baranagar,Madhya Pradesh
ORD24474,2945,1160,28,1.0,2025-01-02,2,2887.82,9.81,54.09,COD,6,0,Delivered,East Hub,3,Sri Ganganagar,West Bengal
ORD35,506,165,43,,2025-01-02,1,8037.11,6.77,473.1,UPI,4,0,Delivered,West Hub,5,Bhind,Delhi
ORD36,1557,1138,13,1.0,2025-01-02,1,1778.36,12.94,417.81,COD,5,0,Delivered,North Hub,5,Rajpur Sonarpur,Delhi
ORD37,2065,297,33,7.0,2025-01-02,1,26971.28,14.22,119.39,COD,2,0,Delivered,East Hub,1,Moradabad,Madhya Pradesh
ORD38,856,555,41,7.0,2025-01-02,1,3180.49,16.44,227.07,UPI,4,0,Delivered,West Hub,3,Dharmavaram,Gujarat
ORD39,1515,146,33,1.0,2025-01-02,1,66782.11,7.98,295.71,COD,5,0,Delivered,West Hub,1,Moradabad,Gujarat
ORD40,2958,349,40,1.0,2025-01-02,1,3023.76,12.86,74.75,Credit Card,3,0,Delivered,North Hub,1,Gandhidham,Karnataka
ORD41,3739,660,46,1.0,2025-01-02,1,2005.55,17.09,306.93,Credit Card,2,0,Delivered,East Hub,3,Gangtok,Odisha
ORD42,2673,501,28,1.0,2025-01-02,1,4238.56,16.63,74.66,Credit Card,6,0,Delivered,South Hub,2,Rampur,West Bengal
ORD43,3613,92,1,1.0,2025-01-02,1,9908.16,6.92,251.15,Credit Card,6,0,Delivered,East Hub,5,Siwan,Gujarat
ORD44,2687,886,42,,2025-01-02,2,19814.33,5.92,92.79,COD,5,0,Delivered,West Hub,2,Tiruchirappalli,Gujarat
ORD45,3060,1160,28,,2025-01-02,1,2356.55,9.81,54.09,COD,6,0,Delivered,East Hub,3,Tiruppur,Kerala
ORD46,1916,256,15,1.0,2025-01-02,1,11781.57,12.82,202.03,COD,5,0,Delivered,South Hub,5,Tumkur,Maharashtra
ORD47,1343,237,26,1.0,2025-01-02,1,32797.01,7.27,191.52,COD,4,0,Delivered,East Hub,1,South Dumdum,Karnataka
ORD48,107,894,37,7.0,2025-01-02,3,7794.96,16.39,393.07,Net Banking,4,0,Delivered,North Hub,4,Bhalswa Jahangir Pur,Delhi
ORD49,1675,549,2,7.0,2025-01-02,1,3802.19,11.44,360.46,Net Banking,4,0,Delivered,East Hub,3,Pimpri-Chinchwad,Delhi
ORD50,2366,42,29,7.0,2025-01-02,1,36755.65,5.72,464.89,COD,5,0,Delivered,West Hub,3,Orai,Maharashtra
ORD51,2624,50,15,,2025-01-02,1,9137.91,16.17,477.3,Credit Card,7,1,Returned,East Hub,1,Kurnool,Maharashtra
ORD52,1590,1176,20,7.0,2025-01-02,1,1994.74,8.95,170.23,Credit Card,4,0,Delivered,East Hub,4,Srikakulam,Uttar Pradesh
